node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
"Antunovich, Peter",1,2845,0,2492,0.0016937373,1443,1,955,,
"Ané, Thierry",1,2845,0,2492,0.0001600431,2562,,,1,315
"Aoki, Masahiko",1,2845,0,2492,0.0001462747,2573,1,955,,
"Appleyard, Melissa M.",2,2000,3.07861205085744E-08,2286,4.04258515806216E-05,2883,1,955,,
"Appleyard, Tony R.",3,1513,,,,,1,955,,
"Aranson, Peter H.",4,1254,7.91643098791913E-08,2161,0.000021578,2973,1,955,,
"Arestis, Philip",2,2000,,,,,,,1,315
"Armstrong, Jeff S.",1,2845,0,2492,4.71644001527179E-05,2848,1,955,,
"Arnold, Tom",16,411,0.0032475357,345,0.0050388895,790,1,955,1,315
"Arshadi, Nasser",2,2000,1.94978763220971E-08,2351,0.000323146,2321,1,955,,
"Arya, Anil",2,2000,9.23583615257232E-09,2450,0.0003118847,2337,1,955,,
"Arzac, Enrique R.",2,2000,6.92687711442924E-08,2195,0.0010612106,1841,1,955,,
"Asquith, Daniel",2,2000,1.71522671404914E-07,2049,0.0014747248,1558,1,955,,
"Atanasova, Christina V.",4,1254,0,2492,0.0034643686,978,1,955,1,315
"Athanasoulis, Stefano G.",8,807,6.25644870102676E-05,1263,0.0015585586,1523,,,1,315
"Attanasio, Orazio P.",2,2000,5.42807914230128E-08,2236,8.28737109834649E-05,2728,1,955,,
"Ausubel, Lawrence M.",2,2000,4.31475009805483E-07,1887,0.0011891746,1729,1,955,,
"Avard, Stephen L.",6,986,0.0013907202,621,1.35037255368372E-05,3029,,,1,315
"Avellaneda, Marco M.",4,1254,0.000017925,1396,0.0049162485,813,3,401,,
"Avery, Robert B.",12,561,0.0002853774,1048,0.003604692,961,4,294,1,315
"Avkiran, Necmi Kemal",3,1513,,,,,1,955,1,315
"Avouyi-Dovi, Sanvi",3,1513,7.91643098791913E-08,2161,6.58709144665764E-05,2776,1,955,,
"Avramov, Doron",2,2000,0,2492,0.0069047053,651,2,559,,
"Axelson, Ulf",2,2000,0,2492,0.0030122058,1054,2,559,,
"Ayres, Frances L.",1,2845,0,2492,6.15537451002671E-07,3227,1,955,,
"Azariadis, Costas",3,1513,0.0001555007,1132,0.0002264072,2479,2,559,,
"Aziz, Andrew R.",6,986,,,,,,,1,315
"Aït-Sahalia, Yacine",29,157,0.0040309751,281,0.0230619759,257,7,134,2,86
"BAIMAN, STANLEY",2,2000,3.00149540081543E-07,1962,0.0014317552,1595,1,955,,
BEN WAISBREN,3,1513,6.04626626225553E-07,1820,0.0009844825,1898,1,955,,
BENJAMIN SAHEL,1,2845,0,2492,0.0002358146,2442,1,955,,
BERNARD BECK,1,2845,0,2492,4.15496617235971E-05,2873,1,955,,
BERNARD COMPAIJEN,1,2845,0,2492,7.22792578121014E-07,3221,1,955,,
BERNARDO PAASCHE,1,2845,0,2492,7.4005509846867E-06,3074,1,955,,
BHARATHRAM THOTHADRI,2,2000,3.07861205085744E-08,2286,0.0014394911,1590,1,955,,
"BHATTACHARYA, SUDIPTO",20,289,0.0104804734,71,0.0123952215,460,9,78,,
BILL ATKINSON,3,1513,3.69433446102893E-08,2272,0.0023162489,1235,2,559,,
BILL RUDNICK,1,2845,0,2492,0.0028963098,1066,1,955,,
BILL WITTE,1,2845,0,2492,1.90511194236046E-06,3171,1,955,,
BLAIR CORKRAN,2,2000,7.38866892205786E-08,2193,0.000271377,2383,1,955,,
BO HILER,3,1513,3.67877224626635E-06,1588,0.0005757251,2107,1,955,,
BOB VIRGIL,2,2000,1.94438655843628E-08,2354,0.0002272703,2471,1,955,,
BRETT DREY,4,1254,7.91643098791913E-08,2161,0.000021578,2973,1,955,,
BRIAN MCTIGUE,1,2845,0,2492,0.001606572,1488,1,955,,
BRIAN STUART,2,2000,1.67924293683133E-08,2364,1.41345621839098E-06,3183,1,955,,
"BROOKS, LEROY D.",4,1254,3.69433446102893E-07,1922,6.45107663181315E-07,3225,1,955,,
BRUCE FOERSTER,2,2000,1.96554589776291E-07,2002,0.0053165818,760,1,955,,
BYRON CHAPMAN,2,2000,4.87764952844715E-05,1293,0.000016586,3017,1,955,,
"Bacidore, Jeffrey M.",18,337,0.0012680744,650,0.0148260057,386,5,214,1,315
"Back, Kerry",19,315,0.0007950739,795,0.0143104914,403,8,101,2,86
"Backus, David K.",31,139,0.0149490024,35,0.0107981714,517,5,214,2,86
"Bacmann, Jean François",3,1513,1.65219404905915E-05,1409,0.0014716221,1563,1,955,,
"Badrinath, Swaminathan G.",1,2845,0,2492,0.0001860953,2534,1,955,,
"Baer, Herbert L.",5,1104,5.89687482004675E-05,1269,0.0016107426,1487,2,559,,
"Bagella, Michele",8,807,0.0006938535,813,0.0002350647,2458,,,1,315
"Bagliano, Fabio Cesare",5,1104,0.0003993351,972,3.36074937991412E-05,2920,,,1,315
"Bagnoli, Mark",2,2000,0,2492,0.0015867785,1506,1,955,,
"Bai, Jushan",2,2000,3.07861205085744E-08,2286,2.87305239779182E-06,3140,1,955,,
