node,positions
CRAIG FRIEDMAN,"(4233.6, 5118.0)"
CRAIG G DUNBAR,"(5375.2, 3538.0)"
CRAIG MERRILL,"(4371.1, 3861.7)"
CRAIG PIRRONG,"(453.9, 298.0)"
CRAIG R BROWN,"(2307.1, 4298.0)"
CRISTINA NETO DE CARVALHO,"(766.6, 4878.0)"
CYRIL MONNET,"(357.34, 3788.6)"
D SCOTT LEE,"(2587.5, 1378.0)"
D TIMOTHY MCCORMICK,"(2692.3, 1010.1)"
DA VOSS,"(3368.3, 2618.0)"
DAMIANO ROSSELLO,"(4959.4, 2295.3)"
DAMIR FILIPOVIC,"(1234.8, 4079.1)"
DAN BERNHARDT,"(3372.8, 3899.4)"
DAN DHALIWAL,"(5279.9, 248.64)"
DAN GALAI,"(4350.1, 4118.0)"
DANIEL AUNON-NERIN,"(507.24, 708.64)"
DANIEL BERGSTRESSER,"(3224.5, 3869.3)"
DANIEL DORN,"(2890.2, 1578.0)"
DANIEL EGLOFF,"(4477.8, 1987.8)"
DANIEL FERREIRA,"(4548.4, 5368.6)"
DANIEL GIAMOURIDIS,"(4573.9, 1538.0)"
DANIEL J BRADLEY,"(3804.1, 2131.7)"
DANIEL L NOLLE,"(3867.2, 3491.3)"
DANIEL L THORNTON,"(1949.3, 1229.2)"
DANIEL M COVITZ,"(3412.0, 4798.0)"
DANIEL NICOLAIEVSKY,"(4711.1, 2718.0)"
DANIEL PARAVISINI,"(195.54, 1398.0)"
DANIEL PORATH,"(3681.6, 2816.6)"
DANIEL R SMITH,"(2622.9, 2639.2)"
DANIEL RODRIGUEZ,"(2662.6, 4413.2)"
DANIEL WOLFENZON,"(3346.0, 3842.1)"
DANIELA KLINGEBIEL,"(3527.1, 3456.7)"
DANIELLE LEWIS,"(426.6, 3238.0)"
DARINKA DENTCHEVA,"(2303.6, 698.0)"
DARIO FOCARELLI,"(809.04, 1488.6)"
DARIUS P MILLER,"(1571.8, 2454.4)"
DARIUS PALIA,"(3030.1, 4092.2)"
DARREN J KISGEN,"(779.95, 4600.4)"
DAVID A BECHER,"(4138.5, 2526.7)"
DAVID A HIRSHLEIFER,"(2516.3, 2908.6)"
DAVID A HSIEH,"(4277.1, 1715.8)"
DAVID A LESMOND,"(3385.3, 3993.2)"
DAVID A MILLER,"(3665.6, 5118.0)"
DAVID A PEEL,"(3530.4, 5498.0)"
DAVID A RAKOWSKI,"(4485.4, 3026.1)"
DAVID B HUMPHREY,"(3237.2, 3589.4)"
DAVID C MAUER,"(3730.9, 1062.3)"
DAVID COOK,"(1131.0, 4346.2)"
DAVID D VANHOOSE,"(1293.3, 458.0)"
DAVID DEMERY,"(259.29, 5028.6)"
DAVID F LARCKER,"(4789.7, 3692.3)"
DAVID G MCMILLAN,"(5618.8, 4378.0)"
DAVID GOLDREICH,"(2816.3, 3522.1)"
DAVID H PAPELL,"(742.54, 328.64)"
DAVID HAUNER,"(117.99, 4778.0)"
DAVID J DENIS,"(3123.7, 2386.1)"
DAVID J THESMAR,"(1847.8, 2669.3)"
DAVID K MUSTO,"(3477.8, 1518.0)"
DAVID KIRSCH,"(3701.2, 5180.4)"
DAVID L IKENBERRY,"(3928.1, 2059.0)"
DAVID L YERMACK,"(5103.1, 4458.0)"
DAVID LANDO,"(4312.1, 188.64)"
DAVID P MORTON,"(1197.8, 5098.0)"
DAVID P NEWTON,"(1840.4, 998.0)"
DAVID R PETERSON,"(1265.5, 3208.4)"
DAVID R SKEIE,"(94.743, 5598.0)"
DAVID RUTHENBERG,"(3823.0, 538.0)"
DAVID S BATES,"(1536.7, 58.0)"
DAVID S SCHARFSTEIN,"(1816.8, 2452.3)"
DAVID SAUNDERS,"(1993.1, 1386.0)"
