node,x,y
"Bostic, Raphael W.",129.54,79.382
"Boubakri, Narjess",59.812,-132.01
"Boudoukh, Jacob",-59.084,3.0721
"Boudreaux, Donald J.",24.939,268.98
"Boutchkova, Maria K.",99.594,-173.37
"Bouwman, Christa H.S.",88.309,116.18
"Bowen, Robert M.",-96.654,-203.11
"Bowers, James W.",-173.82,30.414
"Bowman, Robert G.",-235.59,-235.85
"Boyd, John H.",52.94,51.601
"Boyer, Benoit",163.18,-224.04
"Boyle, Phelim P.",-186.9,74.336
"Bozewicz, Jane",-298.15,-142.18
"Bradley, Michael D.",-137.05,-108.52
"Bradshaw, Mark T.",-256.5,-28.374
"Brakman, Steven",-243.91,404.66
"Branch, Ben S.",91.058,-7.9059
"Brander, James A.",-40.048,112.91
"Brandt, Michael W.",-158.5,-83.219
"Branstetter, Lee G.",159.91,-224.08
"Braun, R. Anton",148.34,149.82
"Brav, Alon",-51.472,-74.135
"Breach, Alasdair",47.772,19.696
"Brealey, Richard A.",-98.051,-91.355
"Brean, Donald J.S.",-284.66,-172.71
"Breeden, Douglas T.",-31.914,-243.2
"Breedon, Francis",-171.32,-24.277
"Brennan, Michael J.",-49.267,-62.546
"Brenner, Menachem",-186.89,-20.747
"Brewer, Elijah",97.77,36.99
"Brick, Ivan E.",-123.29,44.122
"Bricker, Robert J.",62.049,-221.97
"Brickley, James A.",-2.9332,-161.2
"Britten-Jones, Mark",-10.94,-125.29
"Broaddus, J. Alfred",134.0,274.61
"Broadie, Mark N.",-183.2,49.818
"Brodt, Abraham I.",-343.41,-85.204
"Brook, Yaron",156.65,-84.665
"Brooks, Chris S.",-257.83,-230.07
"Brous, Peter ALAN",190.88,-122.21
"Brown, Craig R.",34.441,-51.167
"Brown, David P.",-49.912,152.63
"Brown, David T.",50.171,-50.3
"Brown, Keith C.",-23.182,-222.68
"Brown, Lawrence D.",-213.71,-127.3
"Brown, Robert L.",-726.38,-656.07
"Brown, Stephen J.C.",-121.93,-53.974
"Brown, Ward",-227.36,221.15
"Browne, Sid",-216.64,-54.346
"Bruce, Neil",-454.1,-290.75
"Brumm, Harold J.",-478.8,-549.13
"Bruner, Robert F.",114.91,-75.796
"Brunner, Allan D.",98.175,230.8
"Bryant, John L.",162.54,34.414
"Bryant, Richard R.",125.48,278.44
"Buch, Claudia M.",273.73,115.76
"Buchanan, James M.",7.3494,365.74
"Bullard, James B.",-153.84,210.09
"Bunch, David S.",-251.12,-52.883
"Bunsis, Howard",57.227,-144.83
"Buraschi, Andrea",-224.41,47.729
"Burch, Timothy R.",-24.249,139.74
"Burdekin, Richard C.K.",86.515,236.73
"Burghof, Hans Peter",338.88,-57.28
"Burgstahler, David C.",-101.79,153.21
"Burguet, Roberto",123.15,-60.927
"Burkart, Mike",4.3857,-9.7508
"Burke, Jim",109.39,82.213
"Burke, Simon P.",-346.43,-259.26
"Burnside, Craig Craig",-76.217,179.69
"Busaba, Walid Y.",206.61,-186.37
"Buser, Stephen A.",-97.936,-15.14
"Busse, Jeffrey A.",-197.17,29.33
"Butler, Richard J.",240.93,-44.561
"Byers, Steven S.",-108.53,-241.9
"Byrd, John W.",92.922,-338.22
"Bénabou, Roland",-181.51,-204.96
"Bøhren, Øyvind",44.593,-104.98
