node,x,y
"Barro, Robert T.",-78.361,-26.375
"Barron, John M.",685.4,-895.68
"Barron, Orie E.",244.42,-63.817
"Barros, Pedro Pita",-274.0,-12.281
"Barry, Christopher B.",150.25,92.464
"Barsky, Robert B.",-243.91,-87.414
"Barth, James R.",-41.248,-96.433
"Bartholdy, Jan",-25.717,-164.73
"Bartolini, Leonardo",-157.69,-209.26
"Bartov, Eli L.I.",183.17,-236.04
"Baruch, Shmuel",90.148,96.577
"Basak, Gopal K.",13.621,171.79
"Basak, Suleyman",-77.563,139.55
"Bass, Richard F.",-121.03,66.821
"Bassett, William F.",-84.059,-162.93
"Basu, Kunal",152.73,164.67
"Basu, Sudipta",204.93,-13.092
"Basu, Susanto",-241.58,-99.295
"Bates, David S.",-96.414,91.487
"Bates, Thomas W.",147.19,-6.2564
"Batini, Nicoletta",-502.33,-108.33
"Battalio, Robert H.",63.38,20.22
"Bauer, Gregory H.",-18.706,139.93
"Bauer, Larry L.",-39.06,152.96
"Bauer, Paul W.",-66.959,-188.65
"Bauer, Rob M.M.J.",-152.59,77.03
"Bauer, Wolfgang",24.173,-102.39
"Baum, Christopher F.",-123.5,282.52
"Baumann, Renato",154.67,-302.29
"Baumberger, Jörg",830.38,-177.45
"Baxter, B. J.C.",83.405,-234.64
"Bayless, Mark E.",-769.4,919.68
"Bayoumi, Tamim A.",-64.847,-314.47
"Bean, Charles R.",-306.08,-119.59
"Beatty, Anne L.",-23.267,-103.6
"Beatty, Randolph P.",90.316,85.525
"Beaulieu, Nancy D.",275.48,-120.18
"Beaver, William H.",203.34,-24.494
"Bebchuk, Lucian A.",81.232,-38.201
"Beber, Alessandro",-44.713,167.13
"Beccalli, Elena",-116.34,-268.05
"Becchetti, Leonardo",18.495,-189.02
"Becher, David A.",121.94,-106.97
"Bechmann, Ken L.",158.91,-112.43
"Becht, Marco",149.0,-142.82
"Beck, Thorsten",4.4157,-97.415
"Becker, Torbjörn",93.676,-221.28
"Beetsma, Roel M.W.J.",36.16,-326.23
"Beine, Michel",202.66,-26.976
"Beja, Avraham",219.13,107.67
"Bekaert, Geert",-31.697,-13.783
"Belaire-Franch, Jorge",482.73,-690.51
"Bell, Clive",-29.76,-197.51
"Beltratti, Andrea E.",278.4,930.32
"Beltz, Jess",117.28,-95.748
"Benartzi, Shlomo",-67.665,60.098
"Benati, Luca",-148.3,-48.447
"Bencivenga, Valerie R.",101.65,-283.3
"Benhabib, Jess",-211.45,-204.03
"Benmelech, Efraim",-2.9395,-177.03
"Bennardo, Alberto",-173.98,-63.749
"Bennett, James A.",196.18,75.012
"Bennett, Paul",150.76,-107.73
"Benninga, Simon Z.",360.62,-26.765
"Benrud, Erik",220.54,190.74
"Bens, Daniel A.",-109.49,74.6
"Benston, George J.",-1.1443,-74.228
"Bental, Benjamin",-269.1,30.832
"Benveniste, Lawrence M.",115.22,-87.939
"Benzoni, Luca",-116.21,21.576
"Berg, Andrew G.",127.29,-208.57
"Berg, Joyce E.",65.463,216.75
"Bergen, Mark E.",-228.16,-187.62
"Berger, Allen N.",-40.536,-101.17
"Berger, Philip G.",-115.03,163.98
"Berglof, Erik",113.05,-167.38
"Bergman, Nittai K.",110.21,-113.13
"Bergstresser, Daniel",126.54,-158.9
"Bergström, Clas",-167.79,-5.7782
"Berk, Jonathan B.",7.1467,24.078
"Berkelaar, Arjan B.",-126.35,52.055
"Berkman, Henk",188.22,-35.608
"Berkovec, James A.",-161.46,-294.46
"Berkovitch, Elazar",86.539,21.471
"Berkowitz, Dan",-52.996,-211.99
"Berkowitz, Jeremy",-37.272,148.67
"Berlin, Mitchell",-85.394,-97.512
"Berliner, Joseph S.",-249.41,-180.63
"Berliner, L. Mark",85.913,-85.443
"Bernanke, Ben S.",-151.76,-4.3651
"Bernard, Andrew B.",226.09,96.081
"Bernardo, Antonio E.",-48.665,87.02
"Bernhardt, Dan",20.734,31.328
"Bernheim, B. Douglas",-8.4624,205.64
"Bertaut, Carol C.",8.7541,130.75
"Bertola, Giuseppe",-176.67,-229.48
"Bertoneche, Marc L.",131.26,48.786
"Bessembinder, Hendrik",59.183,56.165
"Bethel, Jennifer E.",219.35,71.721
"Bettis, J. Carr",182.88,47.477
"Bhabra, Harjeet Singh",102.51,-264.12
"Bhagat, Sanjai",73.406,31.572
"Bhamra, Harjoat S.",-61.144,147.21
"Bhanot, Karan",145.88,42.381
"Bharadwaj, Anu",151.62,16.319
"Bharath, Sreedhar T.",212.27,-5.0134
"Bhattacharya, Utpal",9.3069,-25.856
"Bhattacharyya, Nalinaksha",276.18,56.39
"Bhattacharyya, Sugato",56.945,-56.798
"Bhidé, Amar V.",-111.15,-54.146
"Biais, Bruno",28.035,98.022
"Bianchi, Marcello",-196.21,-328.56
"Bianco, Magda",-147.96,-179.26
"Bick, Avi",-198.99,94.228
"Bierman, Harold",85.996,166.62
"Biktimirov, Ernest N.",220.4,145.75
"Billett, Matthew T.",46.935,-53.443
"Biloski, Alan J.",106.21,157.16
"Bils, Mark",-294.51,84.188
"Binder, John J.",-1.9298,-257.12
"Bindseil, Ulrich",-193.91,-275.98
"Bird, Ron G.",-132.02,107.29
"Birge, John R.",-108.39,133.62
"Bisignano, Joseph",-41.226,-245.32
"Bisin, Alberto",-143.43,-26.282
"Bisière, Christophe",146.66,264.45
"Bitler, Marianne P.",-1.8852,-23.067
"Bittlingmayer, George",44.004,-344.14
"Bizjak, John M.",134.21,-35.54
"Bjønnes, Geir Høidal",-101.37,-20.646
"Black, Bernard S.",135.0,122.44
"Black, Harold A.",14.572,-213.19
"Blackburn, McKinley L.",22.591,338.64
"Blackstock, Rob",-226.91,-650.58
"Blader, Steven L.",152.28,52.257
"Blake, Christopher R.",-105.54,158.87
"Blanchard, Olivier Jean",-74.952,-28.672
"Blanco, Juan M.",49.614,-315.65
"Blanco, Roberto",-147.23,-160.46
"Blazenko, George W.",386.49,-3.7374
"Blinder, Alan S.",-211.17,-98.719
"Bliss, Robert R.",-99.779,-23.092
"Block, Stanley B.",269.15,129.51
"Bloomfield, Robert J.",28.509,120.64
"Blum, Andrew",176.34,91.186
"Blum, Jürg M.",35.693,-258.2
"Blume, Marshall E.",154.52,-32.022
"Board, John L.G.",155.26,240.66
"Bodenhorn, Howard N.",-10.473,-184.03
"Boehm, Thomas P.",22.284,-212.51
"Boehmer, Beatrice",110.48,21.499
"Boehmer, Ekkehart",72.836,-13.311
"Boeschoten, Willem C.",362.97,-582.76
"Bohn, Jeffrey R.",266.71,57.601
"Boileau, Martin",124.16,214.23
"Boivin, Jean",-276.25,60.419
"Boldin, Michael",-319.6,-66.237
"Bollen, Nicolas P.B.",58.112,103.73
"Bollerslev, Tim",-67.239,70.02
"Bolliger, Guido",52.604,-37.907
"Bolster, Paul J.",113.96,-226.99
"Bolton, Patrick",-53.597,-65.907
"Bomfim, Antúlio N.",-187.99,-85.237
"Bonaccorsi di Patti, Emilia",-31.365,-175.43
"Bond, Philip",-98.367,-105.31
"Bondarenko, Oleg",17.185,151.09
"Bonham, Carl S.",-293.16,-159.82
"Bonime, Seth D.",-118.33,-136.91
"Bonin, John P.",32.15,-183.7
"Bonomo, Marco Antonio",-738.4,-862.32
"Bookstaber, Richard",-54.802,164.47
"Boone, Audra L.",114.67,110.44
"Boot, Arnoud W. A.",-4.1614,-85.256
"Booth, James R.",125.04,-64.602
"Booth, Laurence D.",29.772,130.58
"Boquist, John A.",163.79,-172.66
"Bordo, Michael David",-109.47,-181.84
"Borensztein, Eduardo R.",-4.8322,-289.84
"Bortolotti, Bernardo",166.38,-139.82
"Borzekowski, Ron",-43.131,-279.72
"Bos, Jaap W.B.",161.93,-213.99
"Boscaljon, Brian",290.98,89.108
"Boschen, John F.",-487.14,79.479
