node,positions
AMAR MOITON,"(1632.3, 1416.2)"
AMIR BARNEA,"(1121.2, 941.66)"
AMIR KIRSH,"(1023.1, 975.61)"
AMIR N LICHT,"(911.43, 959.06)"
AMIR YARON,"(1069.6, 995.87)"
AMIR ZIV,"(884.24, 1262.9)"
AMIT ARORA,"(1207.6, 1008.2)"
AMIT GOYAL,"(1082.5, 1095.8)"
AMIT KARA,"(945.21, 698.57)"
AMIYATOSH K PURNANANDAM,"(997.99, 1089.2)"
AMNON LEVY,"(994.91, 1021.7)"
AMPARO URBANO,"(830.73, 650.5)"
AMY CHAN,"(1160.5, 1142.4)"
AMY K DITTMAR,"(965.44, 1007.8)"
AMY K EDWARDS,"(869.0, 1103.2)"
AMY X SUN,"(932.63, 894.6)"
AN YAN,"(1015.9, 1035.5)"
AN-SING CHEN,"(685.64, 1613.0)"
ANA AIZCORBE,"(1005.2, 844.26)"
ANA CANHOTO,"(779.05, 898.4)"
ANA ISABEL FERNANDEZ,"(1173.6, 1624.5)"
ANA LOZANO-VIVAS,"(729.14, 892.88)"
ANA ROSA FONSECA,"(1196.7, 1514.0)"
ANAND DESAI,"(876.0, 1218.2)"
ANAND M GOEL,"(890.61, 1074.9)"
ANAND M VIJH,"(840.3, 992.64)"
ANAND SRINIVASAN,"(926.71, 975.41)"
ANAND VENKATESWARAN,"(1241.0, 1022.2)"
ANANTH MADHAVAN,"(1073.6, 1040.2)"
ANASTASIOS G MALLIARIS,"(1258.4, 1127.8)"
ANAT R ADMATI,"(1010.1, 1154.8)"
ANCHADA (AIDA) CHAROENROOK,"(929.28, 1137.2)"
ANDERS LOFLUND,"(1170.5, 902.66)"
ANDERS VREDIN,"(827.29, 780.6)"
ANDRAS FULOP,"(906.94, 1309.1)"
ANDRE F PEROLD,"(917.67, 1158.5)"
ANDRE FARBER,"(1016.6, 661.54)"
ANDRE LUCAS,"(1160.4, 774.06)"
ANDRE STERN,"(990.12, 1274.8)"
ANDREA BELTRATTI,"(219.1, 436.0)"
ANDREA BURASCHI,"(1072.8, 1105.6)"
ANDREA GERALI,"(878.38, 814.77)"
ANDREA ICHINO,"(812.29, 864.59)"
ANDREA L EISFELDT,"(1111.1, 985.5)"
ANDREA RONCORONI,"(928.78, 1262.8)"
ANDREA S AU,"(1079.6, 1022.5)"
ANDREA SIRONI,"(101.29, 348.0)"
ANDREAS GINTSCHEL,"(1168.5, 1098.6)"
ANDREAS IRMEN,"(1007.5, 772.42)"
ANDREAS M FISCHER,"(1119.5, 751.37)"
ANDREAS PFINGSTEN,"(690.12, 855.66)"
ANDREAS RESCHREITER,"(1688.4, 1648.4)"
ANDREAS SCHABERT,"(305.9, 172.0)"
ANDREAS WORMS,"(786.27, 822.22)"
ANDREI A KIRILENKO,"(790.43, 931.35)"
ANDREI DRAGANESCU,"(1268.5, 370.0)"
ANDREI EVTIMOV,"(1219.3, 1114.5)"
ANDREI KHINCHUK,"(1156.4, 1075.4)"
ANDREI SHLEIFER,"(980.23, 999.35)"
ANDREI SIMONOV,"(992.12, 1109.5)"
ANDRES ALMAZAN,"(945.25, 1047.0)"
ANDRES VELASCO,"(1249.0, 767.56)"
ANDREU MAS-COLELL,"(794.13, 790.95)"
ANDREW ALFORD,"(1172.7, 1153.6)"
ANDREW ANG,"(1041.4, 1066.5)"
ANDREW ATKESON,"(1087.5, 1275.2)"
ANDREW B ABEL,"(1136.3, 1073.1)"
ANDREW B BERNARD,"(888.49, 1252.6)"
ANDREW BERG,"(780.15, 940.19)"
ANDREW BLUM,"(917.82, 1213.4)"
ANDREW BRIGDEN,"(643.22, 980.83)"
ANDREW C SZAKMARY,"(658.16, 907.26)"
ANDREW CARVERHILL,"(1224.5, 1062.7)"
ANDREW ELLUL,"(946.92, 855.84)"
ANDREW F SIEGEL,"(1093.5, 1037.0)"
ANDREW FILARDO,"(1299.2, 849.11)"
ANDREW G HALDANE,"(735.79, 807.3)"
ANDREW GLYN,"(1123.5, 876.63)"
ANDREW H CHEN,"(1181.6, 925.69)"
ANDREW HAUSER,"(1092.5, 726.18)"
ANDREW HUGHES HALLETT,"(747.16, 830.43)"
ANDREW JEFFREY,"(930.21, 1168.5)"
ANDREW MARSHALL,"(1203.9, 1252.1)"
ANDREW METRICK,"(970.12, 1122.5)"
ANDREW MEYER,"(796.97, 760.79)"
ANDREW MITCHELL,"(1226.1, 1138.8)"
ANDREW POWELL,"(999.31, 896.93)"
ANDREW R JACKSON,"(937.02, 1013.9)"
ANDREW ROPER,"(985.56, 1108.4)"
ANDREW SBARAGLIA,"(715.97, 983.47)"
ANDREW SNELL,"(1411.1, 1061.1)"
ANDREW T LEVIN,"(1068.8, 775.77)"
ANDREW T YOUNG,"(984.93, 867.59)"
ANDREW VON NORDENFLYCHT,"(1184.9, 933.23)"
ANDREW W LO,"(1020.2, 1124.4)"
ANDREW WAISBURD,"(987.19, 1249.4)"
ANDREW WINTON,"(952.25, 972.8)"
ANDREY UKHOV,"(825.08, 1004.2)"
ANDRIANOS E TSEKREKOS,"(1297.4, 917.46)"
ANDY LUTZ,"(1072.7, 1202.7)"
ANDY NARANJO,"(1009.8, 965.79)"
ANDY SKRZYPACZ,"(789.59, 1228.9)"
ANETE PAJUSTE,"(942.06, 960.31)"
ANGEL SERRAT,"(1079.4, 1242.2)"
ANGELA G MORGAN,"(913.15, 926.19)"
ANGELA NG,"(1097.0, 995.44)"
ANGELINE LAVIN,"(708.55, 1061.4)"
ANGELO A UNITE,"(775.94, 658.58)"
ANGELO BAGLIONI,"(1045.1, 780.6)"
ANGUS DEATON,"(1208.5, 1186.6)"
ANIL K KASHYAP,"(964.66, 908.19)"
ANIL K MAKHIJA,"(893.75, 989.61)"
ANIL SHIVDASANI,"(933.4, 1078.5)"
ANITA CHAN,"(1162.8, 795.09)"
ANITA K PENNATHUR,"(963.55, 881.07)"
ANITA MCGAHAN,"(772.62, 1132.0)"
ANITA TACI,"(1018.4, 794.18)"
ANJALI KUMAR,"(904.2, 842.99)"
ANJAN V THAKOR,"(965.1, 988.71)"
ANJOLEIN SCHMEITS,"(1178.5, 1059.6)"
ANN B GILLETTE,"(1126.0, 922.03)"
ANN E SHERMAN,"(1009.0, 1069.1)"
ANN HARRISON,"(1086.6, 858.41)"
ANN MARIE WHYTE,"(1054.1, 693.7)"
ANN OWEN,"(817.07, 1315.5)"
ANNA D MARTIN,"(1974.5, 1700.6)"
ANNA J SCHWARTZ,"(963.26, 816.73)"
ANNA MARIA C MENICHINI,"(966.74, 770.65)"
ANNA MEYENDORFF,"(792.81, 922.05)"
ANNA PAULSON,"(834.73, 840.31)"
ANNA PAVLOVA,"(1194.1, 1104.8)"
ANNA SANZ DE GALDEANO,"(732.21, 828.31)"
ANNA SCHERBINA,"(1069.4, 1006.9)"
ANNA TRAVIS,"(697.65, 983.24)"
ANNE BEATTY,"(901.18, 968.24)"
ANNE GRON,"(931.94, 987.82)"
ANNE VALETTE,"(878.88, 676.97)"
ANNE-MARIE ANDERSON,"(853.79, 1219.8)"
ANNETTE B POULSEN,"(939.7, 990.66)"
ANNETTE VISSING-JORGENSEN,"(1049.6, 1037.3)"
ANREW A SAMWICK,"(900.88, 1127.5)"
ANTHONY BARKUME,"(1136.1, 1263.6)"
ANTHONY CRAWFORD,"(1111.5, 1265.9)"
ANTHONY D HALL,"(828.41, 1287.7)"
ANTHONY J RICHARDS,"(790.85, 925.68)"
ANTHONY M MARINO,"(1139.8, 862.92)"
ANTHONY M SANTOMERO,"(1150.4, 996.64)"
ANTHONY MARCIANO,"(841.7, 866.26)"
ANTHONY NEOH,"(1002.7, 1182.1)"
ANTHONY NEUBERGER,"(1099.0, 1086.7)"
ANTHONY PENNINGTON-CROSS,"(802.94, 865.25)"
ANTHONY RODRIGUES,"(917.93, 1184.1)"
ANTHONY SAUNDERS,"(1000.3, 962.45)"
ANTHONY W LYNCH,"(1011.0, 1036.8)"
ANTHONY YATES,"(689.37, 717.62)"
ANTOINE FAURE-GRIMAUD,"(940.51, 990.99)"
ANTOINE RENUCCI,"(749.5, 1055.0)"
ANTOINETTE SCHOAR,"(983.02, 1024.9)"
ANTON MIGLO,"(1103.6, 770.87)"
ANTONIO ARGANDONA,"(753.6, 696.68)"
ANTONIO CAMARA,"(1116.2, 1160.4)"
ANTONIO CICCONE,"(674.15, 1148.1)"
ANTONIO DIAZ,"(1140.3, 1384.0)"
ANTONIO E BERNARDO,"(1067.5, 1121.9)"
ANTONIO FURTADO,"(905.89, 743.68)"
ANTONIO GUARINO,"(1032.4, 777.04)"
ANTONIO MELE,"(1114.4, 1193.1)"
ANTONIO MORENO,"(1117.8, 930.03)"
ANTONIO S MELLO,"(955.75, 1181.9)"
ANTONIO SPILIMBERGO,"(788.58, 929.94)"
ANTONIOS ANTONIOU,"(1644.6, 1580.0)"
ANTONIOS SANGVINATOS,"(1066.4, 1078.5)"
ANTULIO N BOMFIM,"(841.61, 878.31)"
ANU ARRO,"(825.06, 845.0)"
ANU BHARADWAJ,"(928.67, 1166.1)"
ANUP AGRAWAL,"(891.44, 1189.7)"
ANURAG GUPTA,"(1082.5, 1029.5)"
ANUSHA CHARI,"(1018.2, 1037.3)"
APOSTOLOS SERLETIS,"(669.25, 911.32)"
APRIL KLEIN,"(742.0, 1162.7)"
AR RADHAKRISHNAN,"(1223.8, 1069.1)"
ARCHISHMAN CHAKRABORTY,"(898.38, 852.45)"
ARCHISMAN CHAKRABORTY,"(773.1, 1202.0)"
ARDEN HALL,"(1219.7, 811.23)"
AREK OHANISSIAN,"(1243.0, 1140.3)"
ARGIA SBORDONE,"(1111.4, 798.3)"
ARI D ANDRICOPOULOS,"(1168.2, 1203.3)"
ARI GINSBERG,"(1124.8, 946.6)"
ARI WEINBERGER,"(1126.5, 1112.3)"
ARIANE SZAFARZ,"(1096.1, 1349.5)"
ARIE KAPTEYN,"(1768.7, 1352.6)"
ARIE MELNIK,"(1172.5, 1004.6)"
ARIF KHURSHED,"(812.7, 1139.0)"
ARIS STOURAITIS,"(1140.5, 1734.0)"
ARJAN BERKELAAR,"(1138.7, 1039.2)"
ARMANDO GOMES,"(1120.3, 938.56)"
ARMEN HOVAKIMIAN,"(1017.6, 1002.0)"
ARMIN SCHWIENBACHER,"(1079.3, 1233.0)"
ARNOLD R COWAN,"(912.85, 1234.0)"
